Date,Open,High,Low,Last,Close
05/10/2023,722.81,726.06,720.95,721.75,721.75
04/10/2023,715.56,725.4,715.32,720.86,720.86
03/10/2023,721.57,726.18,719.17,719.67,719.67
02/10/2023,730.65,731.91,721.29,724.18,724.18
29/09/2023,729.81,736.2,728.79,728.79,728.79
28/09/2023,720.65,726.02,715.62,725.99,725.99
27/09/2023,723.81,726.27,719.66,721.74,721.74
26/09/2023,720.8,724.14,718.9,721.43,721.43
25/09/2023,728.39,730.57,721.25,726.64,726.64
22/09/2023,728.73,732.23,726.66,730.09,730.09
21/09/2023,733.12,734.43,728.82,731.72,731.72
20/09/2023,735.5,740.74,734.53,738.32,738.32
19/09/2023,734.59,739.45,732.96,734.93,734.93
18/09/2023,740.68,741.04,734.65,735.85,735.85
15/09/2023,748.45,749.27,741.1,741.51,741.51
14/09/2023,737.26,745.79,734.64,744.46,744.46
13/09/2023,733.66,736.29,731.15,734.93,734.93
12/09/2023,741.34,741.68,734.62,736.69,736.69
11/09/2023,741.42,744.85,738.48,738.89,738.89
08/09/2023,741.98,742.17,732.75,739.09,739.09
07/09/2023,741.9,744.35,737.93,739.71,739.71
06/09/2023,743.5,748.6,741.1,745.43,745.43
05/09/2023,744.25,748.77,740.63,747.11,747.11
04/09/2023,750.48,754.76,746.82,747.43,747.43
01/09/2023,744.54,749.89,743.88,746.05,746.05
31/08/2023,746.65,749.98,743.62,743.62,743.62
30/08/2023,746.04,748.2,742.33,745.43,745.43
29/08/2023,743.74,746.64,741.97,745.89,745.89
28/08/2023,739.34,743.23,737.51,741.76,741.76
25/08/2023,732,739.16,731.96,733.37,733.37
24/08/2023,748.18,749.21,733.34,733.99,733.99
23/08/2023,739.85,742.99,737.36,740.73,740.73
22/08/2023,738.22,743.84,736.83,738.21,738.21
21/08/2023,735.69,740.49,732.95,733.59,733.59
18/08/2023,735.91,736.65,729.61,735.04,735.04
17/08/2023,755.82,757.99,737.36,737.63,737.63
16/08/2023,756.77,759.46,754.04,756.85,756.85
15/08/2023,768.56,768.56,756.7,759.28,759.28
14/08/2023,764.01,766.83,761.07,766.21,766.21
11/08/2023,773.62,773.94,763.36,765.16,765.16
10/08/2023,772.87,780.66,772.57,777.79,777.79
09/08/2023,772.47,774.97,769.08,770.22,770.22
08/08/2023,768.77,772.3,763.11,767,767
07/08/2023,769.48,772.91,768.02,772.13,772.13
04/08/2023,770.94,773.36,766.4,772.71,772.71
03/08/2023,770.25,771.43,764.09,770.07,770.07
02/08/2023,777,782.48,772.97,775.03,775.03
01/08/2023,790.17,792.13,784.67,786.14,786.14
31/07/2023,792.48,794.41,789.52,792,792
28/07/2023,788.54,795.2,787.98,794.27,794.27
27/07/2023,779.02,793.07,779.02,792.06,792.06
26/07/2023,777.94,778.12,770.53,775.46,775.46
25/07/2023,777.74,781.13,775.66,779.81,779.81
24/07/2023,771.41,773.79,769.21,771.55,771.55
21/07/2023,768.13,773.84,768.03,773.75,773.75
20/07/2023,769.74,772.67,768.21,769.62,769.62
19/07/2023,777.93,779.19,774.45,775.03,775.03
18/07/2023,770.92,775.67,770.92,774.48,774.48
17/07/2023,773.58,777.74,771.86,773.45,773.45
14/07/2023,775.53,781.49,775.53,778.93,778.93
13/07/2023,768.5,777.12,768.5,774.8,774.8
12/07/2023,759.98,770.61,759.13,768.14,768.14
11/07/2023,757.25,758.97,753.29,755.82,755.82
10/07/2023,749.6,757.6,749.6,755.76,755.76
07/07/2023,752.92,756.67,747.66,753.52,753.52
06/07/2023,764.97,765.1,751.59,753.34,753.34
05/07/2023,773.46,775.45,768.92,769.89,769.89
04/07/2023,777.89,780.81,777.45,778.72,778.72
03/07/2023,777.1,781.11,776.44,776.44,776.44
30/06/2023,767.38,775.96,765.72,773.94,773.94
29/06/2023,767.99,770.25,766.53,768.94,768.94
28/06/2023,762.83,768.68,762.3,767.77,767.77
27/06/2023,761.77,763.11,755.48,760.56,760.56
26/06/2023,757.15,759.75,751.43,757.5,757.5
23/06/2023,756.66,759.19,753.78,756.6,756.6
22/06/2023,752.61,759.17,750.74,759.17,759.17
21/06/2023,761.43,763.35,758.21,759.16,759.16
20/06/2023,765.38,767.4,762.52,763.09,763.09
19/06/2023,770.86,772.45,768.24,768.98,768.98
16/06/2023,774.88,776.29,772.37,772.72,772.72
15/06/2023,770.82,774.38,767.33,772.64,772.64
14/06/2023,766.98,773,765.96,771.41,771.41
13/06/2023,766.15,768.85,761.91,767.71,767.71
12/06/2023,761.35,764.09,759.88,760.34,760.34
09/06/2023,763.34,763.34,755.93,759.32,759.32
08/06/2023,758.12,761.12,757.32,760.94,760.94
07/06/2023,761.68,763.65,759.41,761.61,761.61
06/06/2023,759.77,762.65,757.08,762.22,762.22
05/06/2023,767.41,768.42,763.2,763.34,763.34
02/06/2023,759.43,765.82,758.14,764.92,764.92
01/06/2023,754.41,758.02,752.55,756.35,756.35
31/05/2023,750.14,756.03,748.45,748.86,748.86
30/05/2023,765.29,765.95,755.38,756.67,756.67
29/05/2023,769.02,769.52,763.66,764.1,764.1
26/05/2023,758.75,770.39,756.74,767.86,767.86
25/05/2023,758.44,759.34,753.58,755.21,755.21
24/05/2023,760.04,760.5,750.22,754.13,754.13
23/05/2023,766.54,769,765.51,765.98,765.98
22/05/2023,766.81,768.59,765.33,767.61,767.61
19/05/2023,767.92,771.74,767.1,767.1,767.1
18/05/2023,760.08,766.14,759.82,765.28,765.28
17/05/2023,754.89,759.04,753.82,758.28,758.28
16/05/2023,755.32,759.29,754.61,756.22,756.22
15/05/2023,756,757.84,753.46,756.18,756.18
12/05/2023,753.29,755.87,751.95,752.99,752.99
11/05/2023,750.31,755.75,747.14,751.12,751.12
10/05/2023,748.03,751.15,745.33,748.29,748.29
09/05/2023,751.58,751.93,744.74,748.38,748.38
08/05/2023,751.89,754.83,751.22,752.68,752.68
